,class_names,file_names,file_paths,labels
0,children_playing,135776-2-0-49,./data/fold1/135776-2-0-49.wav,2
1,gun_shot,46654-6-0-0,./data/fold1/46654-6-0-0.wav,6
2,air_conditioner,57320-0-0-24,./data/fold1/57320-0-0-24.wav,0
3,air_conditioner,134717-0-0-26,./data/fold1/134717-0-0-26.wav,0
4,jackhammer,174276-7-5-0,./data/fold1/174276-7-5-0.wav,7
5,jackhammer,180937-7-2-6,./data/fold1/180937-7-2-6.wav,7
6,drilling,17913-4-0-1,./data/fold1/17913-4-0-1.wav,4
7,jackhammer,103074-7-4-6,./data/fold1/103074-7-4-6.wav,7
8,engine_idling,176787-5-0-9,./data/fold1/176787-5-0-9.wav,5
9,drilling,55020-4-0-11,./data/fold1/55020-4-0-11.wav,4
10,dog_bark,138015-3-0-7,./data/fold1/138015-3-0-7.wav,3
11,jackhammer,180937-7-0-4,./data/fold1/180937-7-0-4.wav,7
12,jackhammer,180937-7-1-13,./data/fold1/180937-7-1-13.wav,7
13,siren,157867-8-0-10,./data/fold1/157867-8-0-10.wav,8
14,jackhammer,103074-7-2-0,./data/fold1/103074-7-2-0.wav,7
15,engine_idling,113205-5-1-4,./data/fold1/113205-5-1-4.wav,5
16,drilling,57584-4-0-8,./data/fold1/57584-4-0-8.wav,4
17,siren,118279-8-0-8,./data/fold1/118279-8-0-8.wav,8
18,street_music,137156-9-0-73,./data/fold1/137156-9-0-73.wav,9
19,drilling,165645-4-1-0,./data/fold1/165645-4-1-0.wav,4
20,children_playing,182800-2-2-0,./data/fold1/182800-2-2-0.wav,2
21,jackhammer,103074-7-0-2,./data/fold1/103074-7-0-2.wav,7
22,siren,159738-8-0-1,./data/fold1/159738-8-0-1.wav,8
23,jackhammer,180937-7-4-0,./data/fold1/180937-7-4-0.wav,7
24,siren,164053-8-1-0,./data/fold1/164053-8-1-0.wav,8
25,siren,159738-8-0-0,./data/fold1/159738-8-0-0.wav,8
26,street_music,132016-9-0-11,./data/fold1/132016-9-0-11.wav,9
27,children_playing,182800-2-2-1,./data/fold1/182800-2-2-1.wav,2
28,jackhammer,180937-7-3-17,./data/fold1/180937-7-3-17.wav,7
29,dog_bark,125791-3-0-9,./data/fold1/125791-3-0-9.wav,3
30,street_music,108041-9-0-9,./data/fold1/108041-9-0-9.wav,9
31,gun_shot,197318-6-1-0,./data/fold1/197318-6-1-0.wav,6
32,siren,118279-8-0-9,./data/fold1/118279-8-0-9.wav,8
33,street_music,191431-9-0-8,./data/fold1/191431-9-0-8.wav,9
34,street_music,139951-9-0-33,./data/fold1/139951-9-0-33.wav,9
35,engine_idling,113205-5-1-5,./data/fold1/113205-5-1-5.wav,5
36,jackhammer,180937-7-1-12,./data/fold1/180937-7-1-12.wav,7
37,jackhammer,180937-7-0-5,./data/fold1/180937-7-0-5.wav,7
38,siren,157867-8-0-11,./data/fold1/157867-8-0-11.wav,8
39,street_music,99180-9-0-7,./data/fold1/99180-9-0-7.wav,9
40,engine_idling,176787-5-0-8,./data/fold1/176787-5-0-8.wav,5
41,drilling,55020-4-0-10,./data/fold1/55020-4-0-10.wav,4
42,children_playing,192124-2-0-0,./data/fold1/192124-2-0-0.wav,2
43,jackhammer,98223-7-1-0,./data/fold1/98223-7-1-0.wav,7
44,drilling,17913-4-0-0,./data/fold1/17913-4-0-0.wav,4
45,air_conditioner,134717-0-0-27,./data/fold1/134717-0-0-27.wav,0
46,dog_bark,72261-3-0-23,./data/fold1/72261-3-0-23.wav,3
47,jackhammer,180937-7-2-7,./data/fold1/180937-7-2-7.wav,7
48,children_playing,143651-2-0-0,./data/fold1/143651-2-0-0.wav,2
49,air_conditioner,57320-0-0-31,./data/fold1/57320-0-0-31.wav,0
50,dog_bark,54858-3-1-2,./data/fold1/54858-3-1-2.wav,3
51,jackhammer,98223-7-3-0,./data/fold1/98223-7-3-0.wav,7
52,drilling,17913-4-2-0,./data/fold1/17913-4-2-0.wav,4
53,children_playing,97317-2-0-28,./data/fold1/97317-2-0-28.wav,2
54,air_conditioner,134717-0-0-19,./data/fold1/134717-0-0-19.wav,0
55,dog_bark,197073-3-4-3,./data/fold1/197073-3-4-3.wav,3
56,air_conditioner,57320-0-0-33,./data/fold1/57320-0-0-33.wav,0
57,jackhammer,180937-7-2-5,./data/fold1/180937-7-2-5.wav,7
58,air_conditioner,134717-0-0-25,./data/fold1/134717-0-0-25.wav,0
59,air_conditioner,57320-0-0-27,./data/fold1/57320-0-0-27.wav,0
60,jackhammer,103074-7-4-5,./data/fold1/103074-7-4-5.wav,7
61,drilling,17913-4-0-2,./data/fold1/17913-4-0-2.wav,4
62,dog_bark,51022-3-29-0,./data/fold1/51022-3-29-0.wav,3
63,drilling,55020-4-0-9,./data/fold1/55020-4-0-9.wav,4
64,siren,157867-8-0-13,./data/fold1/157867-8-0-13.wav,8
65,jackhammer,180937-7-1-10,./data/fold1/180937-7-1-10.wav,7
66,drilling,55020-4-0-12,./data/fold1/55020-4-0-12.wav,4
67,engine_idling,113205-5-1-7,./data/fold1/113205-5-1-7.wav,5
68,dog_bark,9031-3-4-0,./data/fold1/9031-3-4-0.wav,3
69,children_playing,143651-2-0-16,./data/fold1/143651-2-0-16.wav,2
70,jackhammer,180937-7-3-29,./data/fold1/180937-7-3-29.wav,7
71,jackhammer,180937-7-3-15,./data/fold1/180937-7-3-15.wav,7
72,children_playing,182800-2-2-3,./data/fold1/182800-2-2-3.wav,2
73,jackhammer,103074-7-0-1,./data/fold1/103074-7-0-1.wav,7
74,siren,159738-8-0-2,./data/fold1/159738-8-0-2.wav,8
75,gun_shot,197318-6-3-0,./data/fold1/197318-6-3-0.wav,6
76,street_music,194732-9-0-191,./data/fold1/194732-9-0-191.wav,9
77,jackhammer,180937-7-4-3,./data/fold1/180937-7-4-3.wav,7
78,children_playing,105415-2-0-8,./data/fold1/105415-2-0-8.wav,2
79,jackhammer,180937-7-4-2,./data/fold1/180937-7-4-2.wav,7
80,drilling,165645-4-3-0,./data/fold1/165645-4-3-0.wav,4
81,siren,159738-8-0-3,./data/fold1/159738-8-0-3.wav,8
82,dog_bark,155310-3-0-0,./data/fold1/155310-3-0-0.wav,3
83,jackhammer,103074-7-0-0,./data/fold1/103074-7-0-0.wav,7
